id,title,boat_details,rate,contact_info,platform,location,listing_url
001,Hunter Legend 35 Cruising Motorsail Yacht,"Hunter Legend 35 Motorsail Yacht; 35ft/55ft mast; capacity 6 guests; wing keel; bluetooth/wifi; large fridge; swimming ladder with hot/cold shower; water toys included (paddle board, windsurf, surf, snorkel, floaty toys); USCG Captain; sailing lessons available; slip near Jack Island/Long Island Sound; operates sunrise to sunset","$220/hour weekends & holidays (weekday discounts available)",Contact via GetMyBoat messaging platform (Owner: MARCO, Superowner),GetMyBoat,"Stamford, CT (slip across from Jack Island, Long Island Sound)",https://www.getmyboat.com/trips/ZNGlnBZa/
002,24ft Cobia Center Console Versatility,"Cobia 220 CC 24ft Center Console; capacity 8 guests; Bluetooth sound system; GPS ChartPlotter; rod holders & fish storage; cooler with ice & waters; new upholstery; great for fishing/cruising/sunset charters/exploring Stamford Norwalk Islands & Long Island Sound","$200/hour (self-captain fuel included for local range). Captain option: $50/hr + gratuity + $25/hr minimum fuel charge. Free cancellation up to 5 days before trip.",Contact via GetMyBoat messaging platform (Owner: LUKE, 35 bookings),GetMyBoat,"4 Star Point Stamford, CT 06902 (Long Island Sound area)",https://www.getmyboat.com/trips/rYD6vw1N/
003,32' Luxurious Yacht Certified Express Cruiser,"Rinker 290 Express Cruiser 32ft Motor Yacht; capacity 8 guests (up to 10 on deck); cabin sleeps 4 with 6ft+ headroom; kitchenette (fridge/microwave/freshwater sink); full bathroom with shower; retractable bimini top; cockpit cooler & freshwater sink; bow cushion for sunbathing; 6 JL Audio speakers with Bluetooth; swimming platform with rear-facing seat; Great for: Family Time/Relaxation/Sightseeing/Swimming","$300/hour. Complimentary ice & bottled water included. Optional: food/drink stocking $50+cost; Floating mat (18x6ft) $100 extra; 2 stand-up paddleboards $50/piece extra. Free cancellation up to 5 days before. Fully refundable due to rain.",Contact via GetMyBoat messaging platform (Owner: JOSEPH; 18 bookings),GetMyBoat,"4 Star Point Stamford, CT 06902",https://www.getmyboat.com/trips/GaZ8dvkK/
004,30ft 2022 Pontoon w/ Slide - Stamford CT Charter Specialists,"Aloha Tropical Sundeck 260 30ft Pontoon (2022 model); capacity 10 guests; Waterslide built-in; Bluetooth audio sound system; Floating mat included; Jet Ski(s) available; GPS ChartPlotter & Depth Sounder; Cooler with ice & water; Great for: Family Time/Party-Entertainment/Swimming/Relaxation. Captain-only charter (no self-captain). Unsafe conditions (high winds/lightning) = reschedule/refund.","$300/hour + $50/hr crew fee + 10% gratuity minimum of base price due at dock. Includes: boat, ice & water, captain selection list. Free cancellation up to 5 days before trip.",Contact via GetMyBoat messaging platform (Owner: LUKE, 15 bookings, former Boatsetter pro),GetMyBoat,"The Village Dock, 4 Star Point Stamford, CT 06902",https://www.getmyboat.com/trips/WYb44e1N/
005,Customized Boating Adventure on the Sound - 25ft Seacraft Pacific Center Console,"Seacraft Pacific 25 25ft Center Console; twin outboards; capacity 6 guests; GPS ChartPlotter; Bluetooth Sound System; Fish Finder; Ski Gear; Great for: Sunset Cruising/Watersports/Fishing/Sightseeing. Dog Friendly. Beach Island nearby (dogs welcome). USCG Licensed Captain with 10+ years experience. Dock & dine options: Cisco Brewery, Prime, Crab Shell, The Wheel, Playlands Tiki Bar, Northport LI.","$250/hour. Captain required & included in pricing. Free cancellation up to 5 days before trip. Renter assumes full liability.",Contact via GetMyBoat messaging platform (Owner: ALEX, USCG Licensed Captain, 21 bookings, 10+ years experience),GetMyBoat,"333 Ludlow Street, Stamford, CT 06902",https://www.getmyboat.com/trips/GaZ86R3K/
006,Sailing JOURNEY on the Sound,"J Boats J/32 32ft Sailboat Sloop; capacity 6 guests; 1 cabin; head (bathroom) with fresh water hot shower; cold refrigerator; Bluetooth stereo; latest electronic navigation package; Autopilot; Dinghy/Tender; GPS ChartPlotter; Paddleboards; Sun Protection; Toilets. Skippered by USCG 100 gross ton master mariner + RYA 200 ton Yachtmaster license (collegiate sailing coach). Free parking at dock. Great for: Sightseeing/Sunset Cruising/Couples/Relaxation","$262/hour. Price includes yacht, captain, fuel, snacks, water, kids activities, yacht prep. Free cancellation up to 2 days before trip.",Contact via GetMyBoat messaging platform (Owner: YORK, former collegiate sailing coach; USCG 100 ton + RYA 200 ton licenses),GetMyBoat,"123 Harbor Drive, Stamford, CT 06902",https://www.getmyboat.com/trips/qK0e8oyN/
007,Hunter Marine Passage 450 - Sail from Norwalk/Westport CT,"Hunter Marine Passage 450 sailboat; Center cockpit sloop-rigged; capacity 12 guests; hull speed 8.4 knots; in-mast furling main & furling jib; full Bimini + raised solar panels covering entire aft deck; aft steps with hot/cold shower; full galley with microwave; 6 specific chairs on aft deck + 2 on towels under solar panels; large center cockpit seats 8; several cushioned chase lounge seating; ice-filled coolers, water bottles, Crystal Light iced tea; Great for: Sunset Cruising/Sightseeing/Relaxation/Families. Captain grew up on Hudson River & Long Island Sound, 25 years South Florida. Teaching captain. Boat can be repositioned to Northport/Huntington NY, City Island, Port Washington, Brooklyn, Jersey City.",$200/hour (Superowner - per person and per hour discounted pricing for partial days available especially out of Port Washington LI where boat is based),"Contact via GetMyBoat messaging platform (Owner: MARK, Superowner, 192 bookings. Captain is teaching captain, entertainer, musician, engineer/CPA/code writer consultant)",GetMyBoat,"Norwalk/Westport, CT (boat can be repositioned across the sound)",https://www.getmyboat.com/trips/BN9p61bK/
008,Great times around Norwalk Westport and Rowayton - BEST RATES BEST REVIEWS,"Bertram Sport Fish Motor Yacht; capacity 6 guests; 1 cabin; 1 toilet (roomy stand-up head/bathroom); comfortable roomy layout; plenty of blow-up floats included; Great for: Party/Entertainment/Swimming/Sightseeing/Large Groups. Island-hopping to nearby Norwalk islands with swimming and shore exploration. Evening sunset trips available.",$235/hour (1-6 passengers) + possible fuel charge. Free cancellation up to 2 days before trip.,"Contact via GetMyBoat messaging platform (Owner: MARK, 63 bookings, knowledgeable about local waters)",GetMyBoat,"48 Calf Pasture Beach Road, Norwalk, CT 06855 (departure: 41.117744,-73.4081575 Norwalk CT 06851)",https://www.getmyboat.com/trips/BK1ebeQK/
009,Sunset 3-6 Hour Cruises on Spacious Cruiser - Norwalk Westport Rowayton CT,"Chris-Craft 328 Express Cruiser 33ft Motor Yacht (M/V DRIFT); capacity 6 guests; twin engine wide beam; air conditioned cabin with seating and bed space; Bluetooth sound system; refrigerator & freezer; hot water shower & restroom; retractable shade top; soft foam floor; extra large swim platform; lounging sun pad; GPS ChartPlotter; Generator; BBQ; Fish Finder; Paddleboards available; USCG licensed Captain; Great for: Sightseeing/Sunset Cruising/Swimming/Date Nights. Sunset Cruises, Lighthouse Tours, 3-6 Hour Charters. Professional food catering available with 48+ hours notice.","$350+/hour (mid-week lighthouse tour discounts available). Cancellation: 100% refund 7+ days prior (less processing fees); 50% refund 3-10 days prior; less than 3 days = no refund.",Contact via GetMyBoat messaging platform (Owner: MATT/CAPTAIN, USCG licensed captain, 30+ years boating, 20 year business owner; 9 bookings),GetMyBoat,"46 Calf Pasture Beach Road, Norwalk, CT 06855",https://www.getmyboat.com/trips/6KPAAVLN/
010,Robalo 207 Center Console for Rent in Norwalk,"Robalo 207 Center Console; capacity 6 guests; SELF-CAPTAIN (customer provides or acts as qualified operator); open deck center-console layout; Great for: Family Time/Sightseeing/Fishing/Relaxation. Scenic CT coastline cruising. Fuel: renters responsible for returning to dock with same fuel level as arrival.",$200/hour (fuel NOT included - renter returns with same fuel level). Free cancellation up to 5 days before trip.,"Contact via GetMyBoat messaging platform (Owner: BENJAMIN, 4 bookings)",GetMyBoat,"184-200 Connecticut 136, Norwalk, CT 06855",https://www.getmyboat.com/trips/8K5pmg9Y/
